% Model:              StrainTuningCantilever_LARGER_fin.mph
% Version:            COMSOL 6.2.0.339
% Date:               Nov 24 2024, 18:14
% Dimension:          3
% Nodes:              5834
% Expressions:        1
% Description:        Slice
% x                       y                        z                        Strain tensor, YY-component
-2.0816681711721685E-17   34.446397798512514       -2.645820941900364       -2.9048719263490587E-11
-4.85722573273506E-17     34.318966332968344       -2.6680431942627343      -2.5699710234153696E-11
2.0816681711721685E-17    34.325896045065505       -2.605333311044391       -2.3435009121973377E-11
1.734723475976807E-17     34.302926853945216       -2.813191194966699       -3.1920010715258E-11
2.0816681711721685E-17    34.2409019049403         -2.681656530756227       -2.5501339137071317E-11
0                         35                       -2                       -1.1979633136993107E-11
1.3877787807814457E-17    33.6517920901523         -3.210666622099809       -3.008247846675508E-11
1.3877787807814457E-17    33.892795597048334       -3.2916418838069554      -4.138528384988847E-11
-6.938893903907228E-17    33.66437482160267        -3.380165085023478       -3.3795358798061294E-11
-1.2034644114589099E-17   33.76106234241913        -2.0021465129889666      -6.741863522424899E-14
-2.7755575615628914E-17   34.01674822614676        -2.3642282022957275      -1.473299320840717E-11
0                         33.69962337214899        -2.681656530752325       -2.1409771676812332E-11
2.7755575615628914E-17    34.38062821138871        -2                       0
-6.7220534694101275E-18   33.762961567279135       -2                       0
5.0090140368830305E-17    33.76125642277743        -2                       0
5.421010862427522E-19     33.755469325470926       -2                       0
5.551115123125783E-17     33.47600893912744        -2.4610366761464233      -1.0312004212191878E-11
0                         33.17444327682293        -2.1635094920880866      -2.114960792981052E-13
9.139824314052802E-17     33.760376783580476       -2                       0
0                         33.33993041057061        -2.6816565307486036      -1.274096600041817E-11
-1.3877787807814457E-17   33.12222119473364        -2                       2.4949175312217987E-12
-4.163336342344337E-17    33.52067196883315        -3.2475658015561817      -2.8031109278394236E-11
-1.3877787807814457E-17   33.5810635876954         -3.340867072647775       -2.7936746493009508E-11
-1.3877787807814457E-17   35                       -2.710847891386292       -5.5061150770334906E-11
-1.3877787807814457E-17   34.82548493025821        -2.6903490881080003      -4.674873965700302E-11
2.7755575615628914E-17    35                       -2.5205365795543315      -4.616858032189672E-11
0                         34.30292685395778        -3.198826080567431       -5.043505167664323E-11
0                         34.511495132911406       -3.1516255026716866      -5.643602676283184E-11
-5.551115123125783E-17    35                       -3.041073159108663       -7.04914025445698E-11
0                         34.43743604671077        -3.325346252081067       -5.933374881957234E-11
